,mostype,maanthui,mgemomv,mgemleef,moshoofd,mgodrk,mgodpr,mgodov,mgodge,mrelge,mrelsa,mrelov,mfalleen,mfgekind,mfwekind,moplhoog,moplmidd,mopllaag,mberhoog,mberzelf,mberboer,mbermidd,mberarbg,mberarbo,mska,mskb1,mskb2,mskc,mskd,mhhuur,mhkoop,maut1,maut2,maut0,mzfonds,mzpart,minkm30,mink3045,mink4575,mink7512,mink123m,minkgem,mkoopkla,pwapart,pwabedr,pwaland,ppersaut,pbesaut,pmotsco,pvraaut,paanhang,ptractor,pwerkt,pbrom,pleven,ppersong,pgezong,pwaoreg,pbrand,pzeilpl,pplezier,pfiets,pinboed,pbystand,awapart,awabedr,awaland,apersaut,abesaut,amotsco,avraaut,aaanhang,atractor,awerkt,abrom,aleven,apersong,agezong,awaoreg,abrand,azeilpl,aplezier,afiets,ainboed,abystand,caravan
count,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0,9822.0
mean,24.25320708613317,1.108735491753207,2.6775605782936265,2.996436570963144,5.779067399714926,0.7006719609040929,4.637650173080839,1.0500916310323762,3.2629810629199754,6.1889635512115655,0.8731419262879251,2.2866015068214214,1.8872938301771534,3.2373243738546122,4.3028914681327635,1.4845245367542252,3.307269395235186,4.592038281409081,1.8987986153532885,0.40327835471390755,0.5457137039299532,2.8771126043575648,2.226532274485848,2.2911830584402364,1.6506821421299125,1.5950926491549582,2.2047444512319285,3.742211362248015,1.0682142129912442,4.187741804113215,4.819486866218693,6.022500509061291,1.3359804520464265,1.9567297902667482,6.254327020973325,2.750661779678273,2.5770718794542864,3.505497861942578,2.7394624312767255,0.8084911423335369,0.2080024434941967,3.8045204642638972,4.260333944206883,0.7649154958256974,0.03889228263082875,0.07371207493382204,2.9564243534921606,0.054876807167582975,0.17084096925269804,0.00885766646304215,0.01934432905721849,0.09356546528201995,0.011504785176135207,0.21502748930971288,0.20230095703522705,0.011504785176135207,0.01873345550804317,0.023315007126858075,1.8494196701282835,0.0016289961311341885,0.015271838729383017,0.02535125229077581,0.016697210344125434,0.04540826715536551,0.4000203624516392,0.014050091631032376,0.02127876196294034,0.5572184891060884,0.01109753614335166,0.04021584198737528,0.002239869680309509,0.011402972917939319,0.03441254327020973,0.005192425167990226,0.07106495622072898,0.07982081042557523,0.004581551618814905,0.00794135613927917,0.004276114844227245,0.5740175117084096,0.0009163103237629811,0.005090612909794339,0.031459987782529016,0.008450417430258603,0.013846467114640602,0.059661983302789656
std,12.918057577865609,0.4121006575099435,0.7807005612936545,0.8046597870992539,2.8741476294732426,1.015107125795727,1.721211693582255,1.0111563262581948,1.6062866488066116,1.8960696986942271,0.9619549787478845,1.7106736430520761,1.7792383946063184,1.6091391088645872,1.9841521047077342,1.645967686575484,1.7233773895576177,2.2798394672647313,1.8144058560570067,0.786792412827957,1.106348581268197,1.8467030290584927,1.7480250740862828,1.6840083041122458,1.7424102052773365,1.3214868939199842,1.5341630745560555,1.9449002857201065,1.2982289000349065,3.093127469624788,3.093541334024448,1.5439799496330575,1.2136272917848012,1.5968419781280936,2.000373936675277,2.0029601019456074,2.0731249654116177,1.8713648022061509,1.9506247217167956,1.173771147508442,0.5618321201417981,1.3309303330793505,1.9989134128216646,0.9565549865018537,0.3569239128550584,0.5078181613292883,2.9217356161397547,0.5661083897845798,0.8885180337294769,0.2375564998562238,0.20088506372026865,0.6043501583345675,0.21540790621512335,0.8108985477842992,0.9105737126334079,0.1886991462920077,0.21371206892710423,0.37535047782076947,1.8812709799932932,0.05705847965901344,0.2442098496914996,0.15719758964165254,0.21148705639653917,0.3969833186732498,0.4920009780682049,0.12605772317809685,0.14431942630094813,0.6085752488661276,0.12992771268834324,0.22362153796681117,0.06840192411317093,0.11625055147033143,0.24970577541784184,0.10995421023813504,0.26743199464593337,0.38443132508284694,0.067535363861253,0.08876425626466171,0.07122390209304588,0.5612553449752723,0.03025828671262193,0.07799641351224339,0.20907008576346914,0.09264721419483804,0.11772755868860715,0.23687157606594567
min,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1%,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,6.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,10.0,1.0,2.0,2.0,3.0,0.0,4.0,0.0,2.0,5.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,5.0,0.0,0.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,30.0,1.0,3.0,3.0,7.0,0.0,5.0,1.0,3.0,6.0,1.0,2.0,2.0,3.0,4.0,1.0,3.0,5.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,5.0,6.0,1.0,2.0,7.0,2.0,2.0,4.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,35.0,1.0,3.0,3.0,8.0,1.0,6.0,2.0,4.0,7.0,1.0,3.0,3.0,4.0,6.0,2.0,4.0,6.0,3.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,7.0,7.0,7.0,2.0,3.0,8.0,4.0,4.0,5.0,4.0,1.0,0.0,4.0,6.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90%,39.0,1.0,4.0,4.0,9.0,2.0,7.0,2.0,5.0,9.0,2.0,4.0,4.0,5.0,7.0,4.0,5.0,7.0,4.0,1.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,6.0,3.0,9.0,9.0,8.0,3.0,4.0,9.0,5.0,5.0,6.0,5.0,2.0,1.0,6.0,7.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99%,41.0,2.0,5.0,5.0,10.0,4.0,9.0,4.0,7.0,9.0,4.0,7.0,7.0,7.0,9.0,7.0,8.0,9.0,8.0,4.0,5.0,9.0,7.0,7.0,9.0,6.0,6.0,9.0,5.0,9.0,9.0,9.0,5.0,6.0,9.0,9.0,8.0,9.0,9.0,5.0,3.0,8.0,8.0,2.0,2.0,4.0,6.0,0.0,5.0,0.0,1.0,4.0,0.0,4.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0
max,41.0,10.0,6.0,6.0,10.0,9.0,9.0,5.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,3.0,6.0,4.0,9.0,7.0,7.0,9.0,5.0,7.0,6.0,6.0,9.0,6.0,3.0,7.0,8.0,3.0,6.0,1.0,6.0,5.0,2.0,5.0,1.0,12.0,5.0,8.0,4.0,3.0,6.0,6.0,3.0,8.0,1.0,1.0,2.0,7.0,1.0,2.0,4.0,2.0,2.0,1.0
