,cover_start,risk_rated_area_b,sum_insured_buildings,ncd_granted_years_b,risk_rated_area_c,sum_insured_contents,ncd_granted_years_c,spec_sum_insured,spec_item_prem,unspec_hrp_prem,p1_dob,bedrooms,roof_construction,wall_construction,listed,max_days_unocc,ownership_type,paying_guests,prop_type,last_ann_prem_gross,p1_dob_month,p1_dob_year,p1_dob_day_of_month,cover_start_month,cover_start_year,cover_start_day_of_month,p1_sex_id,subsidence_id,p1_mar_status_id,contents_cover_id,occ_status_id,p1_policy_refused_id,p1_emp_status_id,claim3years_id,sec_disc_req_id,ad_contents_id,appr_locks_id,flooding_id,neigh_watch_id,ad_buildings_id,safe_installed_id,bus_use_id,yearbuilt_id,payment_method_id,legal_addon_pre_ren_id,home_em_addon_pre_ren_id,home_em_addon_post_ren_id,garden_addon_pre_ren_id,garden_addon_post_ren_id,keycare_addon_pre_ren_id,keycare_addon_post_ren_id,hp1_addon_pre_ren_id,hp1_addon_post_ren_id,hp2_addon_pre_ren_id,hp2_addon_post_ren_id,hp3_addon_pre_ren_id,hp3_addon_post_ren_id,mta_flag_id,pol_status_id,buildings_cover_id,appr_alarm_id,legal_addon_post_ren_id
count,183073,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0,183073.0
unique,2197,-,-,-,-,-,-,-,-,-,19614,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
top,2011-03-01,-,-,-,-,-,-,-,-,-,1932-01-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
freq,3445,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mean,-,9.949495556417393,771380.815303185,4.460521212849519,8.970534707185154,47803.03485494857,5.518940531918961,289.54156538648516,2.175174657103992,5.313852670791753,-,2.7462815379657295,11.020510943721904,14.977604562114566,2.9962747100883256,8.207545623876815,7.6783141151344,0.0010432996673458129,10.334325651516062,177.18875535987857,6.425152807896303,1939.209681383929,15.654279986671984,5.891185483386408,2007.00996870101,12.559864097928148,2.4561786828205143,1.993603644447843,7.590229034319643,1.2277561409929372,3.98943044577846,1.9996995733942198,4.800249080967701,1.8900329376805973,1.2308805776930514,1.045260633736269,1.292052896931825,1.0200848841718877,1.7631272770971143,1.2277561409929372,1.9928716959901243,1.9854320407706216,8.720078875639771,2.4051389336494187,1.399064853910735,1.7244978778957027,1.952193933567484,1.9241013147760728,1.9310329759167109,1.9539418701829325,1.9498451437404751,1.9997760456211457,1.9869997214226018,1.9989075396153446,1.8155435263528756,1.9999126031692276,1.9967116942421876,1.7113610417702227,3.6790733751017353,1.045260633736269,1.9279686245377528,1.4440032118335309
std,-,7.4543830853729185,419944.53964918887,2.6946497437403436,7.3915552183786,10634.450677739265,1.75869716522848,1188.4636904821007,9.045036591833204,9.825850299657255,-,0.7760931443595147,0.868211239661032,0.8258430813761959,0.07882372958619036,13.374355040591164,2.5456903215765654,0.03228338405512079,8.975560896757996,80.61736606955854,3.4248211150073,10.817740506285002,8.821903075482533,4.9031919641540425,3.8973307284536416,9.88927131196609,0.4988663378381517,0.0797212449937054,2.4803411221722156,0.419385552881289,0.1802276824635817,0.01733026226490661,0.723291813795554,0.3128495519356565,0.4213973261775017,0.20787579178162396,0.4547077431778546,0.14029108705303492,0.4251647015455373,0.419385552881289,0.08412805686221252,0.11981574274285094,7.144540489307721,0.5724802164335375,0.48970747004540793,0.44676816483020876,0.21335626330979415,0.2648366627235601,0.25339874587668865,0.20961158959361534,0.21826499232586133,0.014963470397260092,0.11327551113542217,0.03303441956242925,0.38785706734299497,0.009348244215641096,0.0572495476472639,0.45313092101895963,0.5127908492924909,0.20787579178162396,0.25854056070395187,0.49685582231733955
min,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,-41.88,1.0,1890.0,1.0,1.0,1992.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1%,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0,11.0,15.0,3.0,0.0,3.0,0.0,1.0,48.1972,1.0,1919.0,1.0,1.0,1996.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
10%,-,1.0,0.0,0.0,1.0,50000.0,3.0,0.0,0.0,0.0,-,2.0,11.0,15.0,3.0,0.0,3.0,0.0,1.0,58.51,2.0,1926.0,3.0,1.0,2001.0,1.0,2.0,2.0,4.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0
25%,-,5.0,1000000.0,2.0,3.0,50000.0,6.0,0.0,0.0,0.0,-,2.0,11.0,15.0,3.0,0.0,8.0,0.0,2.0,121.28,3.0,1931.0,8.0,2.0,2005.0,2.0,2.0,2.0,8.0,1.0,4.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0
50%,-,9.0,1000000.0,6.0,8.0,50000.0,6.0,0.0,0.0,0.0,-,3.0,11.0,15.0,3.0,0.0,8.0,0.0,10.0,174.72,6.0,1938.0,16.0,3.0,2009.0,12.0,2.0,2.0,9.0,1.0,4.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0
75%,-,13.000000000000002,1000000.0,6.0,13.0,50000.0,6.0,0.0,0.0,11.89,-,3.0,11.0,15.0,3.0,30.0,8.0,0.0,18.0,228.21,9.0,1947.0,23.0,11.0,2010.0,21.0,3.0,2.0,9.0,1.0,4.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,17.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0
90%,-,19.0,1000000.0,7.0,19.0,50000.0,7.0,350.0,4.42,21.81,-,4.0,11.0,15.0,3.0,30.0,8.0,0.0,19.0,286.01800000000014,11.0,1953.0,28.0,12.0,2011.0,27.0,3.0,2.0,10.0,2.0,4.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,17.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0
99%,-,34.0,1000000.0,9.0,34.0,50000.0,9.0,6000.0,41.442799999999984,36.64,-,5.0,11.0,15.0,3.0,30.0,18.0,0.0,48.0,378.04,12.0,1968.0,31.0,12.0,2011.0,31.0,3.0,2.0,10.0,2.0,4.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,17.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0
max,-,97.0,1000000.0,9.0,95.0,100000.0,9.0,47500.0,389.05,162.61,-,7.0,99.0,99.0,5.0,60.0,18.0,1.0,53.0,402.33,12.0,1991.0,31.0,12.0,2012.0,31.0,3.0,2.0,10.0,2.0,7.0,2.0,11.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,17.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0
